id	label
1	1
2	0
3	1
4	1
5	1
6	0
7	1
8	1
9	0
10	0
11	1
12	0
13	0
14	1
15	1
16	0
17	0
18	0
19	1
20	1
21	1
22	0
23	1
24	0
25	0
26	0
27	0
28	1
29	0
30	0
31	1
32	1
33	1
34	1
35	1
36	1
37	0
38	1
39	0
40	0
41	0
42	1
43	0
44	1
45	1
46	0
47	0
48	0
49	1
50	0
51	0
52	1
53	0
54	0
55	0
56	0
57	0
58	0
59	1
60	1
61	0
62	1
63	0
64	1
65	0
66	0
67	0
68	0
69	0
70	1
71	0
72	1
73	1
74	1
75	0
76	1
77	1
78	1
79	0
80	0
81	1
82	0
83	0
84	1
85	0
86	1
87	1
88	1
89	1
90	1
91	0
92	0
93	0
94	0
95	0
96	1
97	0
98	0
99	0
100	0
101	1
102	0
103	0
104	0
105	0
106	0
107	1
108	0
109	1
110	0
111	1
112	0
113	0
114	1
115	1
116	1
117	0
118	1
119	0
120	1
121	0
122	1
123	1
124	1
125	1
126	0
127	1
128	0
129	1
130	0
131	0
132	0
133	1
134	1
135	0
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	0
144	1
145	0
146	0
147	0
148	1
149	0
150	0
151	0
152	1
153	0
154	1
155	0
156	0
157	0
158	0
159	1
160	0
161	1
162	1
163	0
164	1
165	0
166	0
167	1
168	0
169	1
170	0
171	0
172	0
173	0
174	1
175	0
176	0
177	1
178	1
179	1
180	1
181	0
182	1
183	1
184	0
185	1
186	1
187	1
188	1
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	1
197	0
198	1
199	1
200	1
201	1
202	1
203	0
204	0
205	0
206	1
207	0
208	0
209	0
210	1
211	1
212	0
213	0
214	0
215	1
216	1
217	0
218	1
219	0
220	0
221	0
222	0
223	0
224	1
225	0
226	0
227	0
228	0
229	1
230	1
231	1
232	1
233	1
234	1
235	0
236	1
237	1
238	1
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	1
247	1
248	1
249	0
250	1
251	1
252	0
253	0
254	0
255	1
256	0
257	1
258	0
259	0
260	1
261	1
262	0
263	0
264	0
265	0
266	1
267	1
268	0
269	1
270	1
271	0
272	0
273	1
274	0
275	1
276	0
277	0
278	1
279	0
280	1
281	0
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	0
290	0
291	0
292	1
293	1
294	0
295	0
296	1
297	0
298	1
299	1
300	0
301	0
302	1
303	0
304	0
305	1
306	0
307	0
308	0
309	1
310	0
311	1
312	1
313	1
314	1
315	0
316	0
317	1
318	0
319	0
320	1
321	1
322	1
323	0
324	0
325	1
326	0
327	0
328	1
329	1
330	1
331	1
332	1
333	0
334	0
335	0
336	1
337	0
338	0
339	1
340	1
341	0
342	0
343	1
344	0
345	0
346	0
347	1
348	0
349	0
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	0
358	1
359	1
360	0
361	1
362	0
363	0
364	0
365	0
366	1
367	1
368	1
369	0
370	1
371	1
372	0
373	0
374	1
375	0
376	0
377	0
378	0
379	1
380	0
381	1
382	1
383	1
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	1
399	0
400	0
401	0
402	1
403	1
404	0
405	1
406	0
407	0
408	1
409	0
410	0
411	0
412	0
413	1
414	1
415	0
416	0
417	1
418	0
419	1
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	1
430	1
431	0
432	0
433	0
434	0
435	1
436	0
437	0
438	1
439	1
440	0
441	0
442	1
443	1
444	1
445	1
446	1
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	0
455	0
456	1
457	1
458	0
459	0
460	1
461	1
462	1
463	1
464	0
465	1
466	1
467	0
468	1
469	0
470	1
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	1
481	0
482	1
483	1
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	1
492	1
493	1
494	1
495	0
496	0
497	1
498	0
499	0
500	1
501	0
502	0
503	1
504	0
505	0
506	1
507	0
508	0
509	0
510	0
511	1
512	0
513	0
514	0
515	0
516	1
517	1
518	1
519	1
520	0
521	0
522	0
523	1
524	0
525	0
526	0
527	0
528	1
529	0
530	1
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	1
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	1
552	1
553	0
554	0
555	0
556	1
557	0
558	0
559	1
560	0
561	0
562	0
563	0
564	1
565	0
566	0
567	1
568	1
569	1
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	1
578	0
579	0
580	1
581	1
582	1
583	0
584	0
585	0
586	1
587	0
588	0
589	0
590	0
591	1
592	1
593	1
594	0
595	0
596	0
597	1
598	1
599	0
600	0
601	1
602	0
603	0
604	1
605	1
606	0
607	0
608	0
609	0
610	0
611	0
612	1
613	1
614	1
615	0
616	1
617	0
618	1
619	0
620	0
621	1
622	0
623	1
624	0
625	1
626	0
627	1
628	1
629	1
630	1
631	1
632	0
633	0
634	0
635	0
636	1
637	1
638	1
639	0
640	1
641	1
642	1
643	0
644	0
645	0
646	1
647	0
648	1
649	0
650	0
651	1
652	1
653	1
654	1
655	0
656	0
657	0
658	1
659	0
660	1
661	0
662	0
663	0
664	0
665	1
666	0
667	1
668	0
669	1
670	1
671	0
672	0
673	0
674	1
675	1
676	0
677	0
678	1
679	1
680	0
681	1
682	0
683	0
684	0
685	0
686	0
687	1
688	0
689	0
690	1
691	0
692	1
693	0
694	1
695	0
696	0
697	1
698	0
699	1
700	0
701	0
702	0
703	1
704	1
705	1
706	0
707	0
708	0
709	0
710	1
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	1
723	0
724	0
725	1
726	0
727	1
728	1
729	1
730	0
731	1
732	0
733	1
734	1
735	0
736	0
737	1
738	0
739	0
740	0
741	0
742	0
743	1
744	1
745	0
746	1
747	0
748	1
749	1
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	1
765	1
766	1
767	0
768	0
769	1
770	1
771	0
772	0
773	1
774	1
775	1
776	1
777	0
778	1
779	0
780	1
781	0
782	1
783	0
784	0
785	0
786	0
787	1
788	1
789	1
790	0
791	1
792	0
793	0
794	1
795	0
796	0
797	1
798	1
799	0
800	0
801	1
802	0
803	1
804	0
805	0
806	0
807	0
808	1
809	0
810	0
811	1
812	1
813	1
814	0
815	1
816	0
817	1
818	0
819	1
820	0
821	0
822	0
823	1
824	0
825	1
826	0
827	0
828	0
829	0
830	0
831	1
832	0
833	1
834	1
835	0
836	1
837	0
838	1
839	0
840	0
841	0
842	1
843	1
844	0
